site_id,local_site_name,address,latitude,longitude,date,parameter,units,sample_measurement,aqi
0034,District 6,881 E. 152nd ST.,41.55523,-81.575256,2020-06-29,Ozone,Parts per million,0.033353,39.0
0034,District 6,881 E. 152nd ST.,41.55523,-81.575256,2020-06-30,Ozone,Parts per million,0.038235,42.0
0034,District 6,881 E. 152nd ST.,41.55523,-81.575256,2020-07-01,Ozone,Parts per million,0.037706,43.0
0034,District 6,881 E. 152nd ST.,41.55523,-81.575256,2020-07-02,Ozone,Parts per million,0.032706,40.0
0034,District 6,881 E. 152nd ST.,41.55523,-81.575256,2020-07-03,Ozone,Parts per million,0.055294,105.0
0034,District 6,881 E. 152nd ST.,41.55523,-81.575256,2020-07-04,Ozone,Parts per million,0.026059,39.0
0034,District 6,881 E. 152nd ST.,41.55523,-81.575256,2020-07-05,Ozone,Parts per million,0.034824,46.0
0034,District 6,881 E. 152nd ST.,41.55523,-81.575256,2020-07-06,Ozone,Parts per million,0.051588,61.0
0034,District 6,881 E. 152nd ST.,41.55523,-81.575256,2020-07-07,Ozone,Parts per million,0.053294,112.0
0034,District 6,881 E. 152nd ST.,41.55523,-81.575256,2020-07-08,Ozone,Parts per million,0.063353,129.0
0034,District 6,881 E. 152nd ST.,41.55523,-81.575256,2020-07-09,Ozone,Parts per million,0.063235,136.0
0034,District 6,881 E. 152nd ST.,41.55523,-81.575256,2020-07-10,Ozone,Parts per million,0.040824,47.0
0034,District 6,881 E. 152nd ST.,41.55523,-81.575256,2020-07-11,Ozone,Parts per million,0.034882,38.0
0034,District 6,881 E. 152nd ST.,41.55523,-81.575256,2020-07-12,Ozone,Parts per million,0.034,39.0
0034,District 6,881 E. 152nd ST.,41.55523,-81.575256,2020-07-13,Ozone,Parts per million,0.029765,38.0
0034,District 6,881 E. 152nd ST.,41.55523,-81.575256,2020-07-14,Ozone,Parts per million,0.040941,45.0
0034,District 6,881 E. 152nd ST.,41.55523,-81.575256,2020-07-15,Ozone,Parts per million,0.057875,80.0
0034,District 6,881 E. 152nd ST.,41.55523,-81.575256,2020-07-16,Ozone,Parts per million,0.044,44.0
0034,District 6,881 E. 152nd ST.,41.55523,-81.575256,2020-07-17,Ozone,Parts per million,0.051647,71.0
0034,District 6,881 E. 152nd ST.,41.55523,-81.575256,2020-07-18,Ozone,Parts per million,0.058882,105.0
0034,District 6,881 E. 152nd ST.,41.55523,-81.575256,2020-07-19,Ozone,Parts per million,0.034824,38.0
0034,District 6,881 E. 152nd ST.,41.55523,-81.575256,2020-07-20,Ozone,Parts per million,0.037706,45.0
0034,District 6,881 E. 152nd ST.,41.55523,-81.575256,2020-07-21,Ozone,Parts per million,0.043,49.0
0034,District 6,881 E. 152nd ST.,41.55523,-81.575256,2020-07-22,Ozone,Parts per million,0.035,36.0
0034,District 6,881 E. 152nd ST.,41.55523,-81.575256,2020-07-23,Ozone,Parts per million,0.031471,40.0
0034,District 6,881 E. 152nd ST.,41.55523,-81.575256,2020-07-24,Ozone,Parts per million,0.038,46.0
0034,District 6,881 E. 152nd ST.,41.55523,-81.575256,2020-07-25,Ozone,Parts per million,0.038941,46.0
0034,District 6,881 E. 152nd ST.,41.55523,-81.575256,2020-07-26,Ozone,Parts per million,0.052765,84.0
0034,District 6,881 E. 152nd ST.,41.55523,-81.575256,2020-07-27,Ozone,Parts per million,0.027588,35.0
0034,District 6,881 E. 152nd ST.,41.55523,-81.575256,2020-07-28,Ozone,Parts per million,0.037118,37.0
0034,District 6,881 E. 152nd ST.,41.55523,-81.575256,2020-07-29,Ozone,Parts per million,0.040882,45.0
0034,District 6,881 E. 152nd ST.,41.55523,-81.575256,2020-07-30,Ozone,Parts per million,0.026118,31.0
0034,District 6,881 E. 152nd ST.,41.55523,-81.575256,2020-07-31,Ozone,Parts per million,0.035824,42.0
0034,District 6,881 E. 152nd ST.,41.55523,-81.575256,2020-08-01,Ozone,Parts per million,0.028882,33.0
0034,District 6,881 E. 152nd ST.,41.55523,-81.575256,2020-08-02,Ozone,Parts per million,0.021294,25.0
0034,District 6,881 E. 152nd ST.,41.55523,-81.575256,2020-08-03,Ozone,Parts per million,0.026706,32.0
0034,District 6,881 E. 152nd ST.,41.55523,-81.575256,2020-08-04,Ozone,Parts per million,0.026471,32.0
0034,District 6,881 E. 152nd ST.,41.55523,-81.575256,2020-08-05,Ozone,Parts per million,0.028294,33.0
0034,District 6,881 E. 152nd ST.,41.55523,-81.575256,2020-08-06,Ozone,Parts per million,0.036118,41.0
0034,District 6,881 E. 152nd ST.,41.55523,-81.575256,2020-08-07,Ozone,Parts per million,0.033882,41.0
0034,District 6,881 E. 152nd ST.,41.55523,-81.575256,2020-08-08,Ozone,Parts per million,0.045118,48.0
0034,District 6,881 E. 152nd ST.,41.55523,-81.575256,2020-08-09,Ozone,Parts per million,0.053235,90.0
0034,District 6,881 E. 152nd ST.,41.55523,-81.575256,2020-08-10,Ozone,Parts per million,0.053118,93.0
0034,District 6,881 E. 152nd ST.,41.55523,-81.575256,2020-08-11,Ozone,Parts per million,0.045235,51.0
0034,District 6,881 E. 152nd ST.,41.55523,-81.575256,2020-08-12,Ozone,Parts per million,0.036647,40.0
0034,District 6,881 E. 152nd ST.,41.55523,-81.575256,2020-08-13,Ozone,Parts per million,0.042824,48.0
0034,District 6,881 E. 152nd ST.,41.55523,-81.575256,2020-08-14,Ozone,Parts per million,0.041765,48.0
0034,District 6,881 E. 152nd ST.,41.55523,-81.575256,2020-08-15,Ozone,Parts per million,0.041588,48.0
0034,District 6,881 E. 152nd ST.,41.55523,-81.575256,2020-08-16,Ozone,Parts per million,0.032765,40.0
0034,District 6,881 E. 152nd ST.,41.55523,-81.575256,2020-08-17,Ozone,Parts per million,0.035,40.0
0034,District 6,881 E. 152nd ST.,41.55523,-81.575256,2020-08-18,Ozone,Parts per million,0.024235,27.0
0034,District 6,881 E. 152nd ST.,41.55523,-81.575256,2020-08-19,Ozone,Parts per million,0.022588,24.0
0034,District 6,881 E. 152nd ST.,41.55523,-81.575256,2020-08-20,Ozone,Parts per million,0.037588,46.0
0034,District 6,881 E. 152nd ST.,41.55523,-81.575256,2020-08-21,Ozone,Parts per million,0.046059,61.0
0034,District 6,881 E. 152nd ST.,41.55523,-81.575256,2020-08-22,Ozone,Parts per million,0.054765,87.0
0034,District 6,881 E. 152nd ST.,41.55523,-81.575256,2020-08-23,Ozone,Parts per million,0.045059,64.0
0034,District 6,881 E. 152nd ST.,41.55523,-81.575256,2020-08-24,Ozone,Parts per million,0.046765,61.0
0034,District 6,881 E. 152nd ST.,41.55523,-81.575256,2020-08-25,Ozone,Parts per million,0.028529,43.0
0034,District 6,881 E. 152nd ST.,41.55523,-81.575256,2020-08-26,Ozone,Parts per million,0.039,44.0
0034,District 6,881 E. 152nd ST.,41.55523,-81.575256,2020-08-27,Ozone,Parts per million,0.039941,47.0
0034,District 6,881 E. 152nd ST.,41.55523,-81.575256,2020-08-28,Ozone,Parts per million,0.026529,31.0
0034,District 6,881 E. 152nd ST.,41.55523,-81.575256,2020-08-29,Ozone,Parts per million,0.032353,35.0
0034,District 6,881 E. 152nd ST.,41.55523,-81.575256,2020-08-30,Ozone,Parts per million,0.022706,28.0
0034,District 6,881 E. 152nd ST.,41.55523,-81.575256,2020-08-31,Ozone,Parts per million,0.034412,42.0
0034,District 6,881 E. 152nd ST.,41.55523,-81.575256,2020-09-01,Ozone,Parts per million,0.040059,47.0
0034,District 6,881 E. 152nd ST.,41.55523,-81.575256,2020-09-02,Ozone,Parts per million,0.025882,35.0
0034,District 6,881 E. 152nd ST.,41.55523,-81.575256,2020-09-03,Ozone,Parts per million,0.040824,45.0
0034,District 6,881 E. 152nd ST.,41.55523,-81.575256,2020-09-04,Ozone,Parts per million,0.031765,35.0
0034,District 6,881 E. 152nd ST.,41.55523,-81.575256,2020-09-05,Ozone,Parts per million,0.036,39.0
0034,District 6,881 E. 152nd ST.,41.55523,-81.575256,2020-09-06,Ozone,Parts per million,0.035059,33.0
0034,District 6,881 E. 152nd ST.,41.55523,-81.575256,2020-09-07,Ozone,Parts per million,0.026,27.0
0034,District 6,881 E. 152nd ST.,41.55523,-81.575256,2020-09-08,Ozone,Parts per million,0.035941,44.0
0034,District 6,881 E. 152nd ST.,41.55523,-81.575256,2020-09-09,Ozone,Parts per million,0.028647,37.0
0034,District 6,881 E. 152nd ST.,41.55523,-81.575256,2020-09-10,Ozone,Parts per million,0.018412,19.0
