geoid,tract_name,total_pop,median_hh_income,poverty_count,bachelors_up_count,owner_occupied,nonwhite_count,median_gross_rent
39035190506,Census Tract 1905.06; Cuyahoga County; Ohio,4917,96244,381,1437,1108,981,1313
39035192300,Census Tract 1923; Cuyahoga County; Ohio,1501,96786,58,370,527,125,1148
39035192800,Census Tract 1928; Cuyahoga County; Ohio,1452,137500,64,888,579,366,1125
39035192900,Census Tract 1929; Cuyahoga County; Ohio,1925,110125,81,632,746,181,979
39035194100,Census Tract 1941; Cuyahoga County; Ohio,2010,106055,151,599,882,308,863
39035194300,Census Tract 1943; Cuyahoga County; Ohio,3321,125962,137,1195,1139,222,1687
39035194500,Census Tract 1945; Cuyahoga County; Ohio,2207,231250,135,1256,820,204,3111
39035195600,Census Tract 1956; Cuyahoga County; Ohio,4732,54281,243,834,1462,4267,876
39035195700,Census Tract 1957; Cuyahoga County; Ohio,4276,68179,803,690,1183,2395,1109
39035195800,Census Tract 1958; Cuyahoga County; Ohio,3973,187561,141,1881,1450,787,2016
39035195900,Census Tract 1959; Cuyahoga County; Ohio,4264,100893,146,2297,1576,459,1140
39035196000,Census Tract 1960; Cuyahoga County; Ohio,1781,70605,212,682,490,1181,1405
39035196100,Census Tract 1961; Cuyahoga County; Ohio,2500,68023,215,346,623,566,1174
39035196200,Census Tract 1962; Cuyahoga County; Ohio,3510,23492,1440,523,160,3236,1067
39035196300,Census Tract 1963; Cuyahoga County; Ohio,4144,186619,184,2261,1577,455,1768
39035196400,Census Tract 1964; Cuyahoga County; Ohio,2720,37398,1314,352,512,1769,978
39035196800,Census Tract 1968; Cuyahoga County; Ohio,4625,50859,526,833,79,2348,1683
39035197000,Census Tract 1970; Cuyahoga County; Ohio,3281,50060,491,366,537,3026,1065
39035197100,Census Tract 1971; Cuyahoga County; Ohio,4126,135114,620,2029,1439,1561,1481
39035197200,Census Tract 1972; Cuyahoga County; Ohio,2144,15147,1268,256,256,1906,728
39035197300,Census Tract 1973; Cuyahoga County; Ohio,3144,52898,486,654,269,1442,935
39035197400,Census Tract 1974; Cuyahoga County; Ohio,3805,43913,750,447,823,1989,999
39035197500,Census Tract 1975; Cuyahoga County; Ohio,3506,53669,563,1338,674,1262,1248
39035197600,Census Tract 1976; Cuyahoga County; Ohio,3564,40853,1013,327,484,2626,898
39035197700,Census Tract 1977; Cuyahoga County; Ohio,3168,73184,849,1105,709,1197,1314
39035197800,Census Tract 1978; Cuyahoga County; Ohio,3389,86848,351,2098,442,979,1466
39035197900,Census Tract 1979; Cuyahoga County; Ohio,1689,29438,755,177,281,1179,705
39035198000,Census Tract 1980; Cuyahoga County; Ohio,2143,25357,1131,96,555,1558,561
39035198100,Census Tract 1981; Cuyahoga County; Ohio,2263,27459,979,100,294,1793,822
39035198200,Census Tract 1982; Cuyahoga County; Ohio,3573,35028,1164,288,697,3418,784
39035198300,Census Tract 1983; Cuyahoga County; Ohio,3792,41039,1141,413,591,3496,933
39035198400,Census Tract 1984; Cuyahoga County; Ohio,2706,15508,1669,220,319,2630,282
39035198500,Census Tract 1985; Cuyahoga County; Ohio,1784,38083,500,53,283,1767,1163
39035198600,Census Tract 1986; Cuyahoga County; Ohio,4354,29010,2079,641,426,3801,479
39035198700,Census Tract 1987; Cuyahoga County; Ohio,1740,20893,518,119,291,1682,584
39035198800,Census Tract 1988; Cuyahoga County; Ohio,1870,34623,488,181,190,1685,824
39035198900,Census Tract 1989; Cuyahoga County; Ohio,1847,24627,897,92,195,1231,930
39035199000,Census Tract 1990; Cuyahoga County; Ohio,1280,29861,491,107,287,1251,952
39035199100,Census Tract 1991; Cuyahoga County; Ohio,1802,41413,238,219,552,1728,879
39035199200,Census Tract 1992; Cuyahoga County; Ohio,1525,31250,443,111,353,1485,937
